"Index","Total","Status","Title","Rule Number","Rule Name","Folder","Image Path","Prompt Path","Result Path","Duration Seconds","Error","Completed At UTC"
"71","177","success","Penalty differences in stroke play and match play","R1/3","Stroke play and match play","output\013_001_Penalty_differences_in_stroke_play_and_match_play","output\013_001_Penalty_differences_in_stroke_play_and_match_play\illustration-v2.png","output\013_001_Penalty_differences_in_stroke_play_and_match_play\final-prompt-v2.txt","output\013_001_Penalty_differences_in_stroke_play_and_match_play\image-generation-v2.json","188.22","","2026-06-24T15:24:49.050Z"
"72","177","success","Testing the Green","R13","Putting Green","output\013_001_Testing_the_Green","output\013_001_Testing_the_Green\illustration-v2.png","output\013_001_Testing_the_Green\final-prompt-v2.txt","output\013_001_Testing_the_Green\image-generation-v2.json","192.98","","2026-06-24T15:25:00.626Z"
"73","177","success","What happens if you accidentally move your ball on the green?","13","Ball accidentally moved","output\013_001_What_happens_if_you_accidentally_move_your_ball_on_the_green","output\013_001_What_happens_if_you_accidentally_move_your_ball_on_the_green\illustration-v2.png","output\013_001_What_happens_if_you_accidentally_move_your_ball_on_the_green\final-prompt-v2.txt","output\013_001_What_happens_if_you_accidentally_move_your_ball_on_the_green\image-generation-v2.json","181.74","","2026-06-24T15:25:05.950Z"
"74","177","success","Ball lands on the wrong green","R13","Wrong green","output\013_002_Ball_lands_on_the_wrong_green","output\013_002_Ball_lands_on_the_wrong_green\illustration-v2.png","output\013_002_Ball_lands_on_the_wrong_green\final-prompt-v2.txt","output\013_002_Ball_lands_on_the_wrong_green\image-generation-v2.json","185.69","","2026-06-24T15:25:20.893Z"
"75","177","success","Ball wedged against the flagstick","R13","Ball wedged on the flagstick","output\013_002_Ball_wedged_against_the_flagstick","output\013_002_Ball_wedged_against_the_flagstick\illustration-v2.png","output\013_002_Ball_wedged_against_the_flagstick\final-prompt-v2.txt","output\013_002_Ball_wedged_against_the_flagstick\image-generation-v2.json","180.28","","2026-06-24T15:25:24.524Z"
"76","177","success","Repairing Damage on the Green","R13","Putting Green","output\013_002_Repairing_Damage_on_the_Green","output\013_002_Repairing_Damage_on_the_Green\illustration-v2.png","output\013_002_Repairing_Damage_on_the_Green\final-prompt-v2.txt","output\013_002_Repairing_Damage_on_the_Green\image-generation-v2.json","175.48","","2026-06-24T15:27:35.785Z"
"77","177","success","What should you do if your ball lands on the wrong green?","R13","Wrong green","output\013_002_What_should_you_do_if_your_ball_lands_on_the_wrong_green","output\013_002_What_should_you_do_if_your_ball_lands_on_the_wrong_green\illustration-v2.png","output\013_002_What_should_you_do_if_your_ball_lands_on_the_wrong_green\final-prompt-v2.txt","output\013_002_What_should_you_do_if_your_ball_lands_on_the_wrong_green\image-generation-v2.json","192.22","","2026-06-24T15:28:01.271Z"
"78","177","success","If you accidentally move your ball or marker when marking","R13","Ball moved when marking it","output\013_003_If_you_accidentally_move_your_ball_or_marker_when_marking","output\013_003_If_you_accidentally_move_your_ball_or_marker_when_marking\illustration-v2.png","output\013_003_If_you_accidentally_move_your_ball_or_marker_when_marking\final-prompt-v2.txt","output\013_003_If_you_accidentally_move_your_ball_or_marker_when_marking\image-generation-v2.json","173.31","","2026-06-24T15:27:53.938Z"
"79","177","success","Waiting time for a ball on the edge of the hole","R13","Ball on the edge of the hole","output\013_003_Waiting_time_for_a_ball_on_the_edge_of_the_hole","output\013_003_Waiting_time_for_a_ball_on_the_edge_of_the_hole\illustration-v2.png","output\013_003_Waiting_time_for_a_ball_on_the_edge_of_the_hole\final-prompt-v2.txt","output\013_003_Waiting_time_for_a_ball_on_the_edge_of_the_hole\image-generation-v2.json","184.38","","2026-06-24T15:28:10.332Z"
"80","177","success","What To Do With An Embedded Ball","R13","Putting Green","output\013_003_What_To_Do_With_An_Embedded_Ball","output\013_003_What_To_Do_With_An_Embedded_Ball\illustration-v2.png","output\013_003_What_To_Do_With_An_Embedded_Ball\final-prompt-v2.txt","output\013_003_What_To_Do_With_An_Embedded_Ball\image-generation-v2.json","191.41","","2026-06-24T15:28:32.311Z"
"81","177","success","What happens if the ball rolls away after being replaced?","R13","Ball moves after being put back","output\013_004_What_happens_if_the_ball_rolls_away_after_being_replaced","output\013_004_What_happens_if_the_ball_rolls_away_after_being_replaced\illustration-v2.png","output\013_004_What_happens_if_the_ball_rolls_away_after_being_replaced\final-prompt-v2.txt","output\013_004_What_happens_if_the_ball_rolls_away_after_being_replaced\image-generation-v2.json","181.76","","2026-06-24T15:28:26.289Z"
"82","177","success","Your ball hits the flagstick in the hole","R13","Ball in motion accidentally hits ... the flagstick","output\013_004_Your_ball_hits_the_flagstick_in_the_hole","output\013_004_Your_ball_hits_the_flagstick_in_the_hole\illustration-v2.png","output\013_004_Your_ball_hits_the_flagstick_in_the_hole\final-prompt-v2.txt","output\013_004_Your_ball_hits_the_flagstick_in_the_hole\image-generation-v2.json","192.53","","2026-06-24T15:30:48.323Z"
"83","177","success","Penalty for Playing from the Wrong Spot After a Drop","R14","Incorrect drop","output\014_001_Penalty_for_Playing_from_the_Wrong_Spot_After_a_Drop","output\014_001_Penalty_for_Playing_from_the_Wrong_Spot_After_a_Drop\illustration-v2.png","output\014_001_Penalty_for_Playing_from_the_Wrong_Spot_After_a_Drop\final-prompt-v2.txt","output\014_001_Penalty_for_Playing_from_the_Wrong_Spot_After_a_Drop\image-generation-v2.json","181.67","","2026-06-24T15:30:55.611Z"
"84","177","success","What is a club-length?","14","Dropping and re-dropping","output\014_001_What_is_a_club_length","output\014_001_What_is_a_club_length\illustration-v2.png","output\014_001_What_is_a_club_length\final-prompt-v2.txt","output\014_001_What_is_a_club_length\image-generation-v2.json","180.76","","2026-06-24T15:31:02.030Z"
"85","177","success","Who can put the ball back?","R14","Ball marked by another person","output\014_001_Who_can_put_the_ball_back","output\014_001_Who_can_put_the_ball_back\illustration-v2.png","output\014_001_Who_can_put_the_ball_back\final-prompt-v2.txt","output\014_001_Who_can_put_the_ball_back\image-generation-v2.json","196.30","","2026-06-24T15:31:26.637Z"
"86","177","success","Correct way to drop a ball","14","Dropping and re-dropping","output\014_002_Correct_way_to_drop_a_ball","output\014_002_Correct_way_to_drop_a_ball\illustration-v2.png","output\014_002_Correct_way_to_drop_a_ball\final-prompt-v2.txt","output\014_002_Correct_way_to_drop_a_ball\image-generation-v2.json","197.70","","2026-06-24T15:31:43.991Z"
"87","177","success","Penalty for Dropping Incorrectly but Playing from the Right Spot","R14","Incorrect drop","output\014_002_Penalty_for_Dropping_Incorrectly_but_Playing_from_the_Right_Spot","output\014_002_Penalty_for_Dropping_Incorrectly_but_Playing_from_the_Right_Spot\illustration-v2.png","output\014_002_Penalty_for_Dropping_Incorrectly_but_Playing_from_the_Right_Spot\final-prompt-v2.txt","output\014_002_Penalty_for_Dropping_Incorrectly_but_Playing_from_the_Right_Spot\image-generation-v2.json","194.76","","2026-06-24T15:31:47.072Z"
"88","177","success","Penalty for Placing Instead of Dropping","R14","Incorrect drop","output\014_003_Penalty_for_Placing_Instead_of_Dropping","output\014_003_Penalty_for_Placing_Instead_of_Dropping\illustration-v2.png","output\014_003_Penalty_for_Placing_Instead_of_Dropping\final-prompt-v2.txt","output\014_003_Penalty_for_Placing_Instead_of_Dropping\image-generation-v2.json","207.75","","2026-06-24T15:34:16.074Z"
"89","177","success","When must a ball be dropped again?","14","Dropping and re-dropping","output\014_003_When_must_a_ball_be_dropped_again","output\014_003_When_must_a_ball_be_dropped_again\illustration-v2.png","output\014_003_When_must_a_ball_be_dropped_again\final-prompt-v2.txt","output\014_003_When_must_a_ball_be_dropped_again\image-generation-v2.json","190.26","","2026-06-24T15:34:05.875Z"
"90","177","success","What happens if the dropped ball rolls out of the relief area?","14","Dropping and re-dropping","output\014_004_What_happens_if_the_dropped_ball_rolls_out_of_the_relief_area","output\014_004_What_happens_if_the_dropped_ball_rolls_out_of_the_relief_area\illustration-v2.png","output\014_004_What_happens_if_the_dropped_ball_rolls_out_of_the_relief_area\final-prompt-v2.txt","output\014_004_What_happens_if_the_dropped_ball_rolls_out_of_the_relief_area\image-generation-v2.json","195.07","","2026-06-24T15:34:17.103Z"
"91","177","success","What do you do if the ball won't stay in the relief area?","14","Dropping and re-dropping","output\014_005_What_do_you_do_if_the_ball_wont_stay_in_the_relief_area","output\014_005_What_do_you_do_if_the_ball_wont_stay_in_the_relief_area\illustration-v2.png","output\014_005_What_do_you_do_if_the_ball_wont_stay_in_the_relief_area\final-prompt-v2.txt","output\014_005_What_do_you_do_if_the_ball_wont_stay_in_the_relief_area\image-generation-v2.json","181.27","","2026-06-24T15:34:27.913Z"
"92","177","success","Marking to the side to avoid another player's line","R15","Marking to the side","output\015_002_Marking_to_the_side_to_avoid_another_players_line","output\015_002_Marking_to_the_side_to_avoid_another_players_line\illustration-v2.png","output\015_002_Marking_to_the_side_to_avoid_another_players_line\final-prompt-v2.txt","output\015_002_Marking_to_the_side_to_avoid_another_players_line\image-generation-v2.json","184.12","","2026-06-24T15:34:48.115Z"
"93","177","success","Moving loose impediments","R15","Loose impediments","output\015_002_Moving_loose_impediments","output\015_002_Moving_loose_impediments\illustration-v2.png","output\015_002_Moving_loose_impediments\final-prompt-v2.txt","output\015_002_Moving_loose_impediments\image-generation-v2.json","186.47","","2026-06-24T15:34:53.546Z"
"94","177","success","Handling loose impediments","R15","Loose impediments","output\015_003_Handling_loose_impediments","output\015_003_Handling_loose_impediments\illustration-v2.png","output\015_003_Handling_loose_impediments\final-prompt-v2.txt","output\015_003_Handling_loose_impediments\image-generation-v2.json","194.68","","2026-06-24T15:37:20.554Z"
"95","177","success","Moving loose impediments around your ball","Def./R15","Loose impediments","output\015_003_Moving_loose_impediments_around_your_ball","output\015_003_Moving_loose_impediments_around_your_ball\illustration-v2.png","output\015_003_Moving_loose_impediments_around_your_ball\final-prompt-v2.txt","output\015_003_Moving_loose_impediments_around_your_ball\image-generation-v2.json","224.32","","2026-06-24T15:38:00.394Z"
"96","177","success","Removing artificial objects","R15","Movable obstructions","output\015_003_Removing_artificial_objects","output\015_003_Removing_artificial_objects\illustration-v2.png","output\015_003_Removing_artificial_objects\final-prompt-v2.txt","output\015_003_Removing_artificial_objects\image-generation-v2.json","179.28","","2026-06-24T15:37:16.390Z"
"97","177","success","Dealing with movable obstructions on the course","R15","Movable obstructions","output\015_004_Dealing_with_movable_obstructions_on_the_course","output\015_004_Dealing_with_movable_obstructions_on_the_course\illustration-v2.png","output\015_004_Dealing_with_movable_obstructions_on_the_course\final-prompt-v2.txt","output\015_004_Dealing_with_movable_obstructions_on_the_course\image-generation-v2.json","216.45","","2026-06-24T15:38:04.368Z"
"98","177","success","Moving artificial objects","R15","Movable obstructions","output\015_004_Moving_artificial_objects","output\015_004_Moving_artificial_objects\illustration-v2.png","output\015_004_Moving_artificial_objects\final-prompt-v2.txt","output\015_004_Moving_artificial_objects\image-generation-v2.json","227.54","","2026-06-24T15:38:35.661Z"
"99","177","success","Removing Loose Impediments on the Green","R15","Loose Impediments","output\015_004_Removing_Loose_Impediments_on_the_Green","output\015_004_Removing_Loose_Impediments_on_the_Green\illustration-v2.png","output\015_004_Removing_Loose_Impediments_on_the_Green\final-prompt-v2.txt","output\015_004_Removing_Loose_Impediments_on_the_Green\image-generation-v2.json","169.09","","2026-06-24T15:37:42.635Z"
"100","177","success","Dealing with Movable Obstructions","R15","Movable Obstructions","output\015_005_Dealing_with_Movable_Obstructions","output\015_005_Dealing_with_Movable_Obstructions\illustration-v2.png","output\015_005_Dealing_with_Movable_Obstructions\final-prompt-v2.txt","output\015_005_Dealing_with_Movable_Obstructions\image-generation-v2.json","173.40","","2026-06-24T15:40:09.791Z"
"101","177","success","Free relief for lost ball in abnormal course conditions","R16","Ball lost in abnormal course conditions","output\016_001_Free_relief_for_lost_ball_in_abnormal_course_conditions","output\016_001_Free_relief_for_lost_ball_in_abnormal_course_conditions\illustration-v2.png","output\016_001_Free_relief_for_lost_ball_in_abnormal_course_conditions\final-prompt-v2.txt","output\016_001_Free_relief_for_lost_ball_in_abnormal_course_conditions\image-generation-v2.json","204.95","","2026-06-24T15:40:45.511Z"
"102","177","success","Identifying Immovable Obstructions","16","Abnormal course conditions","output\016_001_Identifying_Immovable_Obstructions","output\016_001_Identifying_Immovable_Obstructions\illustration-v2.png","output\016_001_Identifying_Immovable_Obstructions\final-prompt-v2.txt","output\016_001_Identifying_Immovable_Obstructions\image-generation-v2.json","186.30","","2026-06-24T15:40:48.939Z"
"103","177","success","Relief from wrong hole on a double green","R16","Double green","output\016_001_Relief_from_wrong_hole_on_a_double_green","output\016_001_Relief_from_wrong_hole_on_a_double_green\illustration-v2.png","output\016_001_Relief_from_wrong_hole_on_a_double_green\final-prompt-v2.txt","output\016_001_Relief_from_wrong_hole_on_a_double_green\image-generation-v2.json","165.84","","2026-06-24T15:40:46.241Z"
"104","177","success","Taking relief from a puddle or abnormal course condition","R16","Puddles and other abnormal course conditions","output\016_001_Taking_relief_from_a_puddle_or_abnormal_course_condition","output\016_001_Taking_relief_from_a_puddle_or_abnormal_course_condition\illustration-v2.png","output\016_001_Taking_relief_from_a_puddle_or_abnormal_course_condition\final-prompt-v2.txt","output\016_001_Taking_relief_from_a_puddle_or_abnormal_course_condition\image-generation-v2.json","172.28","","2026-06-24T15:40:56.655Z"
"105","177","success","Taking relief from abnormal course conditions in a bunker","R16","Abnormal course conditions","output\016_001_Taking_relief_from_abnormal_course_conditions_in_a_bunker","output\016_001_Taking_relief_from_abnormal_course_conditions_in_a_bunker\illustration-v2.png","output\016_001_Taking_relief_from_abnormal_course_conditions_in_a_bunker\final-prompt-v2.txt","output\016_001_Taking_relief_from_abnormal_course_conditions_in_a_bunker\image-generation-v2.json","191.32","","2026-06-24T15:41:46.983Z"
"106","177","success","Dropping outside a bunker due to abnormal conditions","R16","Abnormal course conditions","output\016_002_Dropping_outside_a_bunker_due_to_abnormal_conditions","output\016_002_Dropping_outside_a_bunker_due_to_abnormal_conditions\illustration-v2.png","output\016_002_Dropping_outside_a_bunker_due_to_abnormal_conditions\final-prompt-v2.txt","output\016_002_Dropping_outside_a_bunker_due_to_abnormal_conditions\image-generation-v2.json","188.34","","2026-06-24T15:43:18.133Z"
"107","177","success","Free Relief from Temporary Water","16","Abnormal course conditions","output\016_002_Free_Relief_from_Temporary_Water","output\016_002_Free_Relief_from_Temporary_Water\illustration-v2.png","output\016_002_Free_Relief_from_Temporary_Water\final-prompt-v2.txt","output\016_002_Free_Relief_from_Temporary_Water\image-generation-v2.json","179.96","","2026-06-24T15:43:45.474Z"
"108","177","success","Interference from a sprinkler near the green","R16","Sprinklers","output\016_002_Interference_from_a_sprinkler_near_the_green","output\016_002_Interference_from_a_sprinkler_near_the_green\illustration-v2.png","output\016_002_Interference_from_a_sprinkler_near_the_green\final-prompt-v2.txt","output\016_002_Interference_from_a_sprinkler_near_the_green\image-generation-v2.json","173.77","","2026-06-24T15:43:40.014Z"
"109","177","success","Taking relief for an embedded ball","16","Embedded ball","output\016_002_Taking_relief_for_an_embedded_ball","output\016_002_Taking_relief_for_an_embedded_ball\illustration-v2.png","output\016_002_Taking_relief_for_an_embedded_ball\final-prompt-v2.txt","output\016_002_Taking_relief_for_an_embedded_ball\image-generation-v2.json","176.45","","2026-06-24T15:43:45.397Z"
"110","177","success","Animal holes and relief","R16","Abnormal course conditions","output\016_003_Animal_holes_and_relief","output\016_003_Animal_holes_and_relief\illustration-v2.png","output\016_003_Animal_holes_and_relief\final-prompt-v2.txt","output\016_003_Animal_holes_and_relief\image-generation-v2.json","182.24","","2026-06-24T15:43:58.895Z"
"111","177","success","Free drop near a dangerous animal","R16","Dangerous situation","output\016_003_Free_drop_near_a_dangerous_animal","output\016_003_Free_drop_near_a_dangerous_animal\illustration-v2.png","output\016_003_Free_drop_near_a_dangerous_animal\final-prompt-v2.txt","output\016_003_Free_drop_near_a_dangerous_animal\image-generation-v2.json","284.06","","2026-06-24T15:46:31.044Z"
"112","177","success","Recognising Ground Under Repair","16","Abnormal course conditions","output\016_003_Recognising_Ground_Under_Repair","output\016_003_Recognising_Ground_Under_Repair\illustration-v2.png","output\016_003_Recognising_Ground_Under_Repair\final-prompt-v2.txt","output\016_003_Recognising_Ground_Under_Repair\image-generation-v2.json","233.66","","2026-06-24T15:47:11.797Z"
"113","177","success","Dealing with an embedded ball in a penalty area","R16","Embedded ball","output\016_004_Dealing_with_an_embedded_ball_in_a_penalty_area","output\016_004_Dealing_with_an_embedded_ball_in_a_penalty_area\illustration-v2.png","output\016_004_Dealing_with_an_embedded_ball_in_a_penalty_area\final-prompt-v2.txt","output\016_004_Dealing_with_an_embedded_ball_in_a_penalty_area\image-generation-v2.json","198.88","","2026-06-24T15:46:58.901Z"
"114","177","success","If the bunker is completely flooded","R16","Abnormal course conditions","output\016_004_If_the_bunker_is_completely_flooded","output\016_004_If_the_bunker_is_completely_flooded\illustration-v2.png","output\016_004_If_the_bunker_is_completely_flooded\final-prompt-v2.txt","output\016_004_If_the_bunker_is_completely_flooded\image-generation-v2.json","187.04","","2026-06-24T15:46:52.448Z"
"115","177","success","Taking relief from obstructions in a penalty area","R16","Abnormal course conditions","output\016_004_Taking_relief_from_obstructions_in_a_penalty_area","output\016_004_Taking_relief_from_obstructions_in_a_penalty_area\illustration-v2.png","output\016_004_Taking_relief_from_obstructions_in_a_penalty_area\final-prompt-v2.txt","output\016_004_Taking_relief_from_obstructions_in_a_penalty_area\image-generation-v2.json","198.73","","2026-06-24T15:47:04.212Z"
"116","177","success","What Kind of Animal Holes Give Free Relief?","16","Abnormal course conditions","output\016_004_What_Kind_of_Animal_Holes_Give_Free_Relief","output\016_004_What_Kind_of_Animal_Holes_Give_Free_Relief\illustration-v2.png","output\016_004_What_Kind_of_Animal_Holes_Give_Free_Relief\final-prompt-v2.txt","output\016_004_What_Kind_of_Animal_Holes_Give_Free_Relief\image-generation-v2.json","187.09","","2026-06-24T15:47:05.994Z"
"117","177","success","When Is Free Relief Allowed for Abnormal Course Conditions?","16","Abnormal course conditions","output\016_005_When_Is_Free_Relief_Allowed_for_Abnormal_Course_Conditions","output\016_005_When_Is_Free_Relief_Allowed_for_Abnormal_Course_Conditions\illustration-v2.png","output\016_005_When_Is_Free_Relief_Allowed_for_Abnormal_Course_Conditions\final-prompt-v2.txt","output\016_005_When_Is_Free_Relief_Allowed_for_Abnormal_Course_Conditions\image-generation-v2.json","185.45","","2026-06-24T15:49:36.497Z"
"118","177","success","Choosing the Correct Relief Point","17","Taking Relief from Abnormal Course Conditions","output\017_001_Choosing_the_Correct_Relief_Point","output\017_001_Choosing_the_Correct_Relief_Point\illustration-v2.png","output\017_001_Choosing_the_Correct_Relief_Point\final-prompt-v2.txt","output\017_001_Choosing_the_Correct_Relief_Point\image-generation-v2.json","194.16","","2026-06-24T15:50:06.613Z"
"119","177","success","Options After Hitting Into a Red Penalty Area","17","Penalty Areas","output\017_001_Options_After_Hitting_Into_a_Red_Penalty_Area","output\017_001_Options_After_Hitting_Into_a_Red_Penalty_Area\illustration-v2.png","output\017_001_Options_After_Hitting_Into_a_Red_Penalty_Area\final-prompt-v2.txt","output\017_001_Options_After_Hitting_Into_a_Red_Penalty_Area\image-generation-v2.json","202.78","","2026-06-24T15:50:21.683Z"
"120","177","success","Where does the penalty area begin?","R17","In a penalty area","output\017_001_Where_does_the_penalty_area_begin","output\017_001_Where_does_the_penalty_area_begin\illustration-v2.png","output\017_001_Where_does_the_penalty_area_begin\final-prompt-v2.txt","output\017_001_Where_does_the_penalty_area_begin\image-generation-v2.json","201.37","","2026-06-24T15:50:25.585Z"
"121","177","success","Where to drop after yellow penalty area","17","Penalty area rule","output\017_001_Where_to_drop_after_yellow_penalty_area","output\017_001_Where_to_drop_after_yellow_penalty_area\illustration-v2.png","output\017_001_Where_to_drop_after_yellow_penalty_area\final-prompt-v2.txt","output\017_001_Where_to_drop_after_yellow_penalty_area\image-generation-v2.json","196.47","","2026-06-24T15:50:22.464Z"
"122","177","success","Relief Location Choices","17","Taking Relief from Abnormal Course Conditions","output\017_002_Relief_Location_Choices","output\017_002_Relief_Location_Choices\illustration-v2.png","output\017_002_Relief_Location_Choices\final-prompt-v2.txt","output\017_002_Relief_Location_Choices\image-generation-v2.json","185.85","","2026-06-24T15:50:17.650Z"
"123","177","success","Returning to previous spot after water hazard","17","Penalty area rule","output\017_002_Returning_to_previous_spot_after_water_hazard","output\017_002_Returning_to_previous_spot_after_water_hazard\illustration-v2.png","output\017_002_Returning_to_previous_spot_after_water_hazard\final-prompt-v2.txt","output\017_002_Returning_to_previous_spot_after_water_hazard\image-generation-v2.json","186.30","","2026-06-24T15:52:42.806Z"
"124","177","success","What happens if you hit your ball into the water again from a penalty area?","R17","Penalty area – Ball lost or not out","output\017_002_What_happens_if_you_hit_your_ball_into_the_water_again_from_a_penalty_area","output\017_002_What_happens_if_you_hit_your_ball_into_the_water_again_from_a_penalty_area\illustration-v2.png","output\017_002_What_happens_if_you_hit_your_ball_into_the_water_again_from_a_penalty_area\final-prompt-v2.txt","output\017_002_What_happens_if_you_hit_your_ball_into_the_water_again_from_a_penalty_area\image-generation-v2.json","185.14","","2026-06-24T15:53:11.754Z"
"125","177","success","What Should You Do After Losing a Ball in a Red Penalty Area?","17","Penalty Areas","output\017_002_What_Should_You_Do_After_Losing_a_Ball_in_a_Red_Penalty_Area","output\017_002_What_Should_You_Do_After_Losing_a_Ball_in_a_Red_Penalty_Area\illustration-v2.png","output\017_002_What_Should_You_Do_After_Losing_a_Ball_in_a_Red_Penalty_Area\final-prompt-v2.txt","output\017_002_What_Should_You_Do_After_Losing_a_Ball_in_a_Red_Penalty_Area\image-generation-v2.json","188.84","","2026-06-24T15:53:26.499Z"
"126","177","success","Ball from penalty area goes out of bounds","R17","Penalty area – Ball out of bounds or lost","output\017_003_Ball_from_penalty_area_goes_out_of_bounds","output\017_003_Ball_from_penalty_area_goes_out_of_bounds\illustration-v2.png","output\017_003_Ball_from_penalty_area_goes_out_of_bounds\final-prompt-v2.txt","output\017_003_Ball_from_penalty_area_goes_out_of_bounds\image-generation-v2.json","207.67","","2026-06-24T15:53:49.354Z"
"127","177","success","Knowing When Local Rules Offer Extra Options","17","Penalty Areas","output\017_003_Knowing_When_Local_Rules_Offer_Extra_Options","output\017_003_Knowing_When_Local_Rules_Offer_Extra_Options\illustration-v2.png","output\017_003_Knowing_When_Local_Rules_Offer_Extra_Options\final-prompt-v2.txt","output\017_003_Knowing_When_Local_Rules_Offer_Extra_Options\image-generation-v2.json","205.74","","2026-06-24T15:53:48.208Z"
"128","177","success","Options for playing from a penalty area","R17","In a penalty area","output\017_003_Options_for_playing_from_a_penalty_area","output\017_003_Options_for_playing_from_a_penalty_area\illustration-v2.png","output\017_003_Options_for_playing_from_a_penalty_area\final-prompt-v2.txt","output\017_003_Options_for_playing_from_a_penalty_area\image-generation-v2.json","194.20","","2026-06-24T15:53:39.786Z"
"129","177","success","Options when your ball is in a yellow penalty area","17","Penalty area rule","output\017_003_Options_when_your_ball_is_in_a_yellow_penalty_area","output\017_003_Options_when_your_ball_is_in_a_yellow_penalty_area\illustration-v2.png","output\017_003_Options_when_your_ball_is_in_a_yellow_penalty_area\final-prompt-v2.txt","output\017_003_Options_when_your_ball_is_in_a_yellow_penalty_area\image-generation-v2.json","199.79","","2026-06-24T15:56:02.605Z"
"130","177","success","What if the nearest point is in a bad lie?","17","Taking Relief from Abnormal Course Conditions","output\017_003_What_if_the_nearest_point_is_in_a_bad_lie","output\017_003_What_if_the_nearest_point_is_in_a_bad_lie\illustration-v2.png","output\017_003_What_if_the_nearest_point_is_in_a_bad_lie\final-prompt-v2.txt","output\017_003_What_if_the_nearest_point_is_in_a_bad_lie\image-generation-v2.json","226.15","","2026-06-24T15:56:57.911Z"
"131","177","success","No Play Zones in Relief Situations","17","Taking Relief from Abnormal Course Conditions","output\017_004_No_Play_Zones_in_Relief_Situations","output\017_004_No_Play_Zones_in_Relief_Situations\illustration-v2.png","output\017_004_No_Play_Zones_in_Relief_Situations\final-prompt-v2.txt","output\017_004_No_Play_Zones_in_Relief_Situations\image-generation-v2.json","209.29","","2026-06-24T15:56:55.791Z"
"132","177","success","Playing a second ball without announcing it as provisional","R18","Provisional Balls","output\018_001_Playing_a_second_ball_without_announcing_it_as_provisional","output\018_001_Playing_a_second_ball_without_announcing_it_as_provisional\illustration-v2.png","output\018_001_Playing_a_second_ball_without_announcing_it_as_provisional\final-prompt-v2.txt","output\018_001_Playing_a_second_ball_without_announcing_it_as_provisional\image-generation-v2.json","194.92","","2026-06-24T15:56:54.713Z"
"133","177","success","What happens if you find your original ball on the course?","R18","Provisional Ball","output\018_001_What_happens_if_you_find_your_original_ball_on_the_course","output\018_001_What_happens_if_you_find_your_original_ball_on_the_course\illustration-v2.png","output\018_001_What_happens_if_you_find_your_original_ball_on_the_course\final-prompt-v2.txt","output\018_001_What_happens_if_you_find_your_original_ball_on_the_course\image-generation-v2.json","193.40","","2026-06-24T15:57:01.612Z"
"134","177","success","When is a ball out of bounds?","R18","Out of bounds and provisional ball","output\018_001_When_is_a_ball_out_of_bounds","output\018_001_When_is_a_ball_out_of_bounds\illustration-v2.png","output\018_001_When_is_a_ball_out_of_bounds\final-prompt-v2.txt","output\018_001_When_is_a_ball_out_of_bounds\image-generation-v2.json","234.54","","2026-06-24T15:57:43.905Z"
"135","177","success","What counts as a lost ball?","R18","Lost ball","output\018_002_What_counts_as_a_lost_ball","output\018_002_What_counts_as_a_lost_ball\illustration-v2.png","output\018_002_What_counts_as_a_lost_ball\final-prompt-v2.txt","output\018_002_What_counts_as_a_lost_ball\image-generation-v2.json","208.66","","2026-06-24T15:59:31.274Z"
"136","177","success","What do you have to do if your ball is out of bounds?","R18","Out of bounds and provisional ball","output\018_002_What_do_you_have_to_do_if_your_ball_is_out_of_bounds","output\018_002_What_do_you_have_to_do_if_your_ball_is_out_of_bounds\illustration-v2.png","output\018_002_What_do_you_have_to_do_if_your_ball_is_out_of_bounds\final-prompt-v2.txt","output\018_002_What_do_you_have_to_do_if_your_ball_is_out_of_bounds\image-generation-v2.json","171.38","","2026-06-24T15:59:46.101Z"
"137","177","success","What if the provisional ball is in a better spot?","R18","Provisional Balls","output\018_002_What_if_the_provisional_ball_is_in_a_better_spot","output\018_002_What_if_the_provisional_ball_is_in_a_better_spot\illustration-v2.png","output\018_002_What_if_the_provisional_ball_is_in_a_better_spot\final-prompt-v2.txt","output\018_002_What_if_the_provisional_ball_is_in_a_better_spot\image-generation-v2.json","207.60","","2026-06-24T16:00:23.401Z"
"138","177","success","How and when to play a provisional ball","R18","Provisional/lost ball","output\018_003_How_and_when_to_play_a_provisional_ball","output\018_003_How_and_when_to_play_a_provisional_ball\illustration-v2.png","output\018_003_How_and_when_to_play_a_provisional_ball\final-prompt-v2.txt","output\018_003_How_and_when_to_play_a_provisional_ball\image-generation-v2.json","180.09","","2026-06-24T15:59:58.009Z"
"139","177","success","Provisional ball played past where the original ball is believed to be","R18","Provisional Balls","output\018_003_Provisional_ball_played_past_where_the_original_ball_is_believed_to_be","output\018_003_Provisional_ball_played_past_where_the_original_ball_is_believed_to_be\illustration-v2.png","output\018_003_Provisional_ball_played_past_where_the_original_ball_is_believed_to_be\final-prompt-v2.txt","output\018_003_Provisional_ball_played_past_where_the_original_ball_is_believed_to_be\image-generation-v2.json","174.53","","2026-06-24T15:59:56.147Z"
"140","177","success","What happens to your provisional ball?","R18","Out of bounds and provisional ball","output\018_003_What_happens_to_your_provisional_ball","output\018_003_What_happens_to_your_provisional_ball\illustration-v2.png","output\018_003_What_happens_to_your_provisional_ball\final-prompt-v2.txt","output\018_003_What_happens_to_your_provisional_ball\image-generation-v2.json","178.08","","2026-06-24T16:00:41.986Z"
